id;serial;model;jhi_desc;manu;notesp
1;Security;Arizona Down-sized white;Developer Greece Concrete;calculating;Buckinghamshire driver
2;plum Jewelery Generic;Right-sized;Towels Metal;optimize;invoice JSON Rustic
3;Creative;navigating;Analyst Beauty;Bedfordshire Organized invoice;haptic
4;up systematic Assistant;Table Wooden indexing;copying;engage;Cambridgeshire
5;Concrete compressing;Centralized panel;Car;Norwegian;Principal Land
6;Saudi;Louisiana Knoll;Organic matrix Tuna;neural Assistant firewall;Salad
7;Chips Forward;olive multi-tasking solutions;XSS wireless virtual;Data generation;Pa'anga
8;Designer Fuerte;empower;Metal;green access 1080p;Cliffs Practical Team-oriented
9;Washington blue;Money Licensed Facilitator;Kids Synchronised Account;silver;Birr non-volatile program
10;Manors navigate;Cambridgeshire protocol;Bedfordshire world-class;Automated Credit;firewall National Licensed
